X	Y	X	Y	X	Y	X	Y	X	Y
72.99	0	72.99	0.044	72.99	1.008	72.99	52.697	72.99	51.225
73	0.003	73	0.044	73	1.008	73	52.682	73	51.223
73.01	0.007	73.01	0.044	73.01	1.008	73.01	52.667	73.01	51.221
73.25	0.087	73.25	0.043	73.25	1.006	73.25	52.314	73.25	51.184
73.583	0.198	73.583	0.042	73.583	1.004	73.583	51.835	73.583	51.136
73.99	0	73.99	0.041	73.99	1.001	73.99	51.266	73.99	51.081
74	0.003	74	0.041	74	1.001	74	51.252	74	51.08
74.01	0.007	74.01	0.041	74.01	1.001	74.01	51.238	74.01	51.079
74.25	0.087	74.25	0.04	74.25	0.999	74.25	50.911	74.25	51.048
74.583	0.198	74.583	0.039	74.583	0.997	74.583	50.466	74.583	51.009
74.99	0	74.99	0.038	74.99	0.994	74.99	49.939	74.99	50.964
75	0.003	75	0.038	75	0.994	75	49.926	75	50.963
75.01	0.007	75.01	0.038	75.01	0.994	75.01	49.913	75.01	50.962
75.25	0.087	75.25	0.038	75.25	0.993	75.25	49.611	75.25	50.937
75.583	0.198	75.583	0.037	75.583	0.991	75.583	49.2	75.583	50.905
75.99	0	75.99	0.036	75.99	0.988	75.99	48.715	75.99	50.868
76	0.003	76	0.036	76	0.988	76	48.703	76	50.867
76.01	0.007	76.01	0.036	76.01	0.988	76.01	48.691	76.01	50.866
76.25	0.087	76.25	0.036	76.25	0.986	76.25	48.413	76.25	50.846
76.583	0.198	76.583	0.035	76.583	0.984	76.583	48.038	76.583	50.819
76.99	0	76.99	0.035	76.99	0.982	76.99	47.593	76.99	50.789
77	0.003	77	0.035	77	0.982	77	47.582	77	50.788
77.01	0.007	77.01	0.035	77.01	0.982	77.01	47.571	77.01	50.788
77.25	0.087	77.25	0.034	77.25	0.98	77.25	47.317	77.25	50.771
77.583	0.198	77.583	0.034	77.583	0.979	77.583	46.972	77.583	50.749
77.99	0	77.99	0.033	77.99	0.976	77.99	46.566	77.99	50.725
78	0.003	78	0.033	78	0.976	78	46.556	78	50.724
78.01	0.007	78.01	0.033	78.01	0.976	78.01	46.547	78.01	50.723
78.25	0.087	78.25	0.033	78.25	0.975	78.25	46.315	78.25	50.71
78.583	0.198	78.583	0.033	78.583	0.973	78.583	46.001	78.583	50.692
78.99	0	78.99	0.032	78.99	0.971	78.99	45.632	78.99	50.672
79	0.003	79	0.032	79	0.971	79	45.624	79	50.671
79.01	0.007	79.01	0.032	79.01	0.971	79.01	45.615	79.01	50.671
79.25	0.087	79.25	0.032	79.25	0.97	79.25	45.404	79.25	50.66
79.583	0.198	79.583	0.032	79.583	0.968	79.583	45.122	79.583	50.645
79.99	0	79.99	0.031	79.99	0.966	79.99	44.79	79.99	50.629
80	0.003	80	0.031	80	0.966	80	44.782	80	50.628
80.01	0.007	80.01	0.031	80.01	0.966	80.01	44.774	80.01	50.628
80.25	0.087	80.25	0.031	80.25	0.965	80.25	44.584	80.25	50.619
80.583	0.198	80.583	0.031	80.583	0.964	80.583	44.329	80.583	50.607
80.99	0	80.99	0.031	80.99	0.962	80.99	44.031	80.99	50.593
81	0.003	81	0.03	81	0.962	81	44.024	81	50.593
81.01	0.007	81.01	0.03	81.01	0.962	81.01	44.016	81.01	50.593
81.25	0.087	81.25	0.03	81.25	0.961	81.25	43.847	81.25	50.585
81.583	0.198	81.583	0.03	81.583	0.959	81.583	43.62	81.583	50.576
81.99	0	81.99	0.03	81.99	0.958	81.99	43.355	81.99	50.564
82	0.003	82	0.03	82	0.958	82	43.349	82	50.564
82.01	0.007	82.01	0.03	82.01	0.958	82.01	43.342	82.01	50.564
82.25	0.087	82.25	0.03	82.25	0.957	82.25	43.192	82.25	50.558
82.583	0.198	82.583	0.03	82.583	0.956	82.583	42.991	82.583	50.55
82.99	0	82.99	0.029	82.99	0.954	82.99	42.757	82.99	50.541
83	0.003	83	0.029	83	0.954	83	42.752	83	50.541
83.01	0.007	83.01	0.029	83.01	0.954	83.01	42.746	83.01	50.54
83.25	0.087	83.25	0.029	83.25	0.953	83.25	42.614	83.25	50.535
83.583	0.198	83.583	0.029	83.583	0.952	83.583	42.438	83.583	50.529
83.99	0	83.99	0.029	83.99	0.951	83.99	42.234	83.99	50.521
84	0.003	84	0.029	84	0.951	84	42.229	84	50.521
84.01	0.007	84.01	0.029	84.01	0.951	84.01	42.224	84.01	50.521
84.25	0.087	84.25	0.029	84.25	0.95	84.25	42.109	84.25	50.517
84.583	0.198	84.583	0.029	84.583	0.949	84.583	41.956	84.583	50.512
84.99	0	84.99	0.029	84.99	0.948	84.99	41.78	84.99	50.505
85	0.003	85	0.029	85	0.948	85	41.775	85	50.505
85.01	0.007	85.01	0.029	85.01	0.948	85.01	41.771	85.01	50.505
85.25	0.087	85.25	0.029	85.25	0.948	85.25	41.673	85.25	50.502
85.583	0.198	85.583	0.028	85.583	0.947	85.583	41.541	85.583	50.497
85.99	0	85.99	0.028	85.99	0.946	85.99	41.391	85.99	50.492
86	0.003	86	0.028	86	0.946	86	41.387	86	50.492
86.01	0.007	86.01	0.028	86.01	0.946	86.01	41.384	86.01	50.492
86.25	0.087	86.25	0.028	86.25	0.945	86.25	41.3	86.25	50.489
86.583	0.198	86.583	0.028	86.583	0.945	86.583	41.189	86.583	50.486
86.99	0	86.99	0.028	86.99	0.944	86.99	41.063	86.99	50.482
87	0.003	87	0.028	87	0.944	87	41.06	87	50.482
87.01	0.007	87.01	0.028	87.01	0.944	87.01	41.057	87.01	50.482
87.25	0.087	87.25	0.028	87.25	0.943	87.25	40.988	87.25	50.479
87.583	0.198	87.583	0.028	87.583	0.943	87.583	40.897	87.583	50.476
87.99	0	87.99	0.028	87.99	0.942	87.99	40.794	87.99	50.473
88	0.003	88	0.028	88	0.942	88	40.792	88	50.473
88.01	0.007	88.01	0.028	88.01	0.942	88.01	40.789	88.01	50.473
88.25	0.087	88.25	0.028	88.25	0.942	88.25	40.733	88.25	50.471
88.583	0.198	88.583	0.028	88.583	0.941	88.583	40.661	88.583	50.469
88.99	0	88.99	0.028	88.99	0.941	88.99	40.58	88.99	50.466
89	0.003	89	0.028	89	0.941	89	40.578	89	50.466
